Item Name,Package Weight,Package Length,Package Height,Package Width,SKU
P112CC,0.78,7.00,3.00,3.00,P112CC
P112FA,0.165,2.50,2.25,2.25,P112FA
P112INBA,0.119,3.25,2.00,2.00,P112INBA
P112MA,0.15,2.75,2.25,2.25,P112MA
P112MFA,0.138,2.60,2.10,2.10,P112MFA
P112SF,1.147,11.00,3.30,3.30,P112SF
P112SPBVS,0.90,4.70,3.00,4.60,P112SPBVS
P112SPBVT,0.90,4.60,2.90,4.50,P112SPBVT
P112STB,0.05,1.60,1.30,1.60,P112STB
P112STT,0.125,3.25,1.75,2.50,P112STT
P112SU,0.595,3.30,3.80,3.80,P112SU
P112T,0.364,5.00,2.20,3.70,P112T
P112TAD,0.538,3.60,2.00,3.60,P112TAD
P112TC,0.235,2.20,2.50,2.50,P112TC
P112TTB,0.117,1.25,1.50,1.50,P112TTB
P112TU,0.657,3.75,3.24,3.75,P112TU
P112UNBV,2.446,8.00,4.00,7.00,P112UNBV
P112X,0.451,4.70,2.30,4.70,P112X
P11490,0.195,3.20,2.00,3.20,P11490
P114C,0.121,2.70,2.00,2.00,P114C
P114MA,0.116,2.50,2.00,2.00,P114MA
P114T,0.253,4.60,2.00,3.30,P114T
P12112N,0.026,1.50,0.90,0.90,P12112N
P1212N,0.193,12.00,0.90,0.90,P1212N
P1218STB,0.02,1.00,1.10,1.10,P1218STB
P122N,0.026,2.00,0.90,0.90,P122N
P1245,0.048,2.30,1.10,1.80,P1245
P1290,0.055,2.00,1.50,2.00,P1290
P12BVS,0.208,3.00,1.50,1.50,P12BVS
P12BVT,0.217,3.50,2.40,1.40,P12BVT
P12C,0.037,1.90,1.10,1.10,P12C
P12CA,0.028,1.20,1.20,1.20,P12CA
P12CC,0.402,4.60,1.80,1.80,P12CC
P12CN,0.011,1.10,0.80,0.80,P12CN
P12FA,0.037,1.75,1.25,1.25,P12FA
P12FLEX,0.30,18.00,1.10,1.10,P12FLEX
P12INBA,0.027,2.80,1.00,1.00,P12INBA
P12MA,0.032,1.70,1.30,1.30,P12MA
P12MFA,0.031,2.20,1.00,1.00,P12MFA
P12N,0.056,2.00,1.30,1.30,P12N
P12SF,0.273,7.00,2.00,2.00,P12SF
P12SOL,0.086,2.00,2.00,2.00,P12SOL
P12ST90,0.055,2.00,1.10,2.00,P12ST90
P12STT,0.075,2.90,1.20,1.90,P12STT
P12SU,0.151,2.10,2.00,2.00,P12SU
P12T,0.072,2.80,1.90,1.00,P12T
P12T90,0.069,2.00,1.10,2.00,P12T90
P12TC,0.048,1.60,1.30,1.30,P12TC
P12TCA,0.029,1.00,1.25,1.25,P12TCA
P12TP,0.023,1.00,1.00,1.00,P12TP
P12TT,0.075,2.40,1.10,1.80,P12TT
P12TU,0.162,2.20,2.10,2.10,P12TU
P12X,0.08,2.80,1.20,2.80,P12X
P134B,0.039,1.50,1.75,1.75,P134B
P134RC,0.086,2.60,1.70,1.70,P134RC
P134RMA,0.182,0.00,0.00,0.00,P134RMA
P134RT,0.156,3.75,1.75,2.50,P134RT
P134STB,0.04,1.25,1.75,1.75,P134STB
P134STT,0.175,3.70,1.60,2.40,P134STT
P134TRC,0.122,2.10,1.70,1.70,P134TRC
P134TTB,0.032,1.25,1.50,1.50,P134TTB
P145,0.13,3.40,1.70,2.50,P145
P190,0.126,3.00,3.00,3.00,P190
P1BVS,0.481,4.50,2.50,3.50,P1BVS
P1BVT,0.519,4.30,2.20,3.40,P1BVT
P1C,0.084,2.50,1.75,1.75,P1C
P1CA,0.065,2.00,1.75,1.75,P1CA
P1CC,0.474,5.70,2.30,2.30,P1CC
P1F34S,0.08,0.00,0.00,0.00,P1F34S
P1FA,0.082,2.20,1.70,1.70,P1FA
P1FLEX,0.76,18.00,1.70,1.70,P1FLEX
